"subject","Trial","key_press","accuracy","rt","trial_type","arrL","arrR","ValL","ValR","Age","Gender","FullColorVision","compensation","rainbow","nValL","nValR"
"0mkkxzz3w","1",70,1,4406.89999997616,"Training","9 11 7 12 10 6","5 6 10 6 7 8",55,42,"35","Male","Yes","11.07","Pink to Blue",6,5
"0mkkxzz3w","2",70,1,1422,"Training","11 11 10 2 6 8","3 10 4 6 3 5",48,31,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","3",70,1,1891.89999997616,"Training","11 9 6 11 6 5","8 6 8 2 11 7",48,42,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","4",74,1,1956.69999992847,"Training","3 1 3 11 5 1","5 8 6 3 12 5",24,39,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","5",70,1,1148.90000009537,"Training","12 11 6 6 2 6","6 4 10 5 7 4",43,36,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","6",70,1,1050,"Training","9 12 6 3 6 8","7 6 4 4 9 7",44,37,"35","Male","Yes","11.07","Pink to Blue",5,4
"0mkkxzz3w","7",74,1,946.5,"Training","3 3 2 12 5 3","6 7 8 11 8 2",28,42,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","8",70,1,4070.09999990463,"Training","3 4 1 9 11 5","8 10 2 6 2 1",33,29,"35","Male","Yes","11.07","Pink to Blue",6,5
"0mkkxzz3w","9",70,1,805.199999928474,"Training","12 7 2 10 7 11","9 9 2 1 4 4",49,29,"35","Male","Yes","11.07","Pink to Blue",5,4
"0mkkxzz3w","10",70,1,780.300000071526,"Training","3 12 2 10 10 9","4 1 8 7 1 5",46,26,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","11",74,1,836.699999928474,"Training","1 11 8 3 4 12","11 11 1 1 10 10",39,44,"35","Male","Yes","11.07","Pink to Blue",6,3
"0mkkxzz3w","12",70,1,1445,"Training","8 11 5 8 4 4","7 3 6 4 8 6",40,34,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","13",70,1,1614.10000002384,"Training","6 11 4 12 4 2","5 10 4 3 7 5",39,34,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","14",70,1,1100.39999997616,"Training","7 11 2 12 5 11","4 8 3 8 8 9",48,40,"35","Male","Yes","11.07","Pink to Blue",5,4
"0mkkxzz3w","15",70,0,5981.89999997616,"Training","12 5 3 12 4 1","7 4 12 2 5 10",37,40,"35","Male","Yes","11.07","Pink to Blue",5,6
"0mkkxzz3w","16",70,0,1404.10000002384,"Training","1 2 1 2 10 2","5 3 6 3 4 4",18,25,"35","Male","Yes","11.07","Pink to Blue",3,4
"0mkkxzz3w","17",70,1,4077.19999992847,"Training","11 5 7 10 8 8","8 11 2 12 2 9",49,44,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","18",74,1,1221.40000009537,"Training","1 6 1 4 12 4","2 4 2 11 10 12",28,41,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","19",74,1,956.800000071526,"Training","2 2 7 1 8 10","6 2 11 10 10 11",30,50,"35","Male","Yes","11.07","Pink to Blue",5,4
"0mkkxzz3w","20",74,1,2915.39999997616,"Training","2 1 5 7 10 6","5 4 1 3 12 10",31,35,"35","Male","Yes","11.07","Pink to Blue",6,6
"0mkkxzz3w","21",74,1,1165.30000007153,"Training","8 1 12 11 3 1","9 12 3 9 3 10",36,46,"35","Male","Yes","11.07","Pink to Blue",5,4
"0mkkxzz3w","22",74,1,964.5,"Training","3 1 5 8 3 2","11 3 1 6 6 9",22,36,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","23",74,1,924.399999976158,"Training","10 4 4 1 12 4","11 10 7 5 12 4",35,49,"35","Male","Yes","11.07","Pink to Blue",4,6
"0mkkxzz3w","24",70,0,2483.70000004768,"Training","7 7 1 4 4 9","6 1 3 11 7 5",32,33,"35","Male","Yes","11.07","Pink to Blue",4,6
"0mkkxzz3w","25",70,1,683.700000047684,"Training","11 10 10 7 10 10","8 8 2 6 2 8",58,34,"35","Male","Yes","11.07","Pink to Blue",3,3
"0mkkxzz3w","26",74,1,3387.5,"Training","2 9 2 11 2 3","1 7 11 3 8 3",29,33,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","27",70,1,2140.60000002384,"Training","8 6 6 4 5 8","2 3 10 7 4 4",37,30,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","28",74,0,2011.10000002384,"Training","9 2 9 6 5 2","1 4 11 8 3 3",33,30,"35","Male","Yes","11.07","Pink to Blue",4,5
"0mkkxzz3w","29",74,1,1532.70000004768,"Training","8 1 3 9 4 12","7 12 2 7 8 11",37,47,"35","Male","Yes","11.07","Pink to Blue",6,5
"0mkkxzz3w","30",70,1,1340.89999997616,"Training","6 6 8 10 12 4","5 7 5 10 3 9",46,39,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","1",74,0,2170,"Experiment","12 7 9 7 8 6","5 9 6 12 8 8",49,48,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","2",70,1,2921.10000002384,"Experiment","1 7 7 5 4 4","3 4 4 4 8 2",28,25,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","3",74,1,1306.29999995232,"Experiment","12 6 5 12 8 5","12 7 10 6 12 7",48,54,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","4",74,1,1851.5,"Experiment","5 8 6 9 9 11","9 11 6 6 12 8",48,52,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","5",74,1,2380.29999995232,"Experiment","10 5 11 5 9 11","11 6 11 7 9 11",51,55,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","6",74,0,2573.19999992847,"Experiment","5 6 4 5 1 8","3 8 2 1 4 8",29,26,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","7",70,0,1876.70000004768,"Experiment","6 5 11 10 7 9","9 5 6 7 12 11",48,50,"35","Male","Yes","11.07","Pink to Blue",6,6
"0mkkxzz3w","8",74,1,1998.39999997616,"Experiment","4 4 3 10 9 7","5 6 9 7 5 10",37,42,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","9",70,1,2061.29999995232,"Experiment","10 11 9 12 7 10","8 11 10 11 5 12",59,57,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","10",70,1,2908,"Experiment","11 11 8 9 8 5","9 6 5 9 9 11",52,49,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","11",74,1,2765.39999997616,"Experiment","3 9 4 7 7 7","3 7 9 6 6 9",37,40,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","12",70,1,2212.29999995232,"Experiment","12 9 9 8 5 10","7 8 5 12 12 6",53,50,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","13",74,1,4005.10000002384,"Experiment","8 6 3 10 9 9","8 8 10 9 5 7",45,47,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","14",74,1,5052.89999997616,"Experiment","8 4 7 2 7 1","7 1 8 7 6 4",29,33,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","15",74,1,2644.80000007153,"Experiment","6 5 4 3 5 1","7 6 2 3 4 7",24,29,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","16",74,1,3998.30000007153,"Experiment","4 6 6 3 10 7","10 4 5 7 6 5",36,37,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","17",74,1,2654.20000004768,"Experiment","7 10 3 3 8 6","7 9 8 5 7 3",37,39,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","18",70,1,3933.5,"Experiment","1 4 8 7 2 7","1 7 5 4 2 5",29,24,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","19",70,1,1996.40000009537,"Experiment","9 3 4 10 7 5","3 5 7 4 8 9",38,36,"35","Male","Yes","11.07","Pink to Blue",6,6
"0mkkxzz3w","20",74,0,3175.60000002384,"Experiment","5 6 12 11 9 12","10 8 6 12 7 6",55,49,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","21",74,1,2579.79999995232,"Experiment","7 3 6 8 3 10","7 8 9 3 5 9",37,41,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","22",70,0,3197.70000004768,"Experiment","9 10 7 6 8 8","6 11 11 10 5 7",48,50,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","23",70,1,2803.80000007153,"Experiment","5 4 8 5 8 9","6 10 3 4 4 10",39,37,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","24",74,1,3124.89999997616,"Experiment","8 1 1 4 5 6","6 5 3 5 1 7",25,27,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","25",70,1,6256.09999990463,"Experiment","11 6 9 8 6 12","9 5 11 5 8 10",52,48,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","26",70,1,4445.60000002384,"Experiment","3 1 7 5 6 6","2 5 6 3 8 3",28,27,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","27",70,0,13189.1000000238,"Experiment","6 5 9 3 4 9","3 9 8 4 10 3",36,37,"35","Male","Yes","11.07","Pink to Blue",5,5
"0mkkxzz3w","28",74,1,1196.5,"Experiment","3 10 6 3 10 4","5 10 10 8 5 4",36,42,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","29",74,0,1829.19999992847,"Experiment","10 10 8 4 6 10","6 7 10 4 6 10",48,43,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","30",70,1,5509.20000004768,"Experiment","4 7 6 1 8 5","7 4 2 5 1 6",31,25,"35","Male","Yes","11.07","Pink to Blue",6,6
"0mkkxzz3w","31",74,1,5225.5,"Experiment","1 8 4 2 2 8","6 2 3 6 3 7",25,27,"35","Male","Yes","11.07","Pink to Blue",4,4
"0mkkxzz3w","32",74,1,5788.39999997616,"Experiment","5 7 3 6 2 1","3 7 8 2 1 5",24,26,"35","Male","Yes","11.07","Pink to Blue",6,6
